nba_player_id,nba_player_url,scrape_status,error,birthday,recruiting_year,recruiting_rank,college_url,college_player_id,height_inches,weight_lb
bareajo01,https://www.basketball-reference.com/players/b/bareajo01.html,ok,,1984-06-26,,,https://www.sports-reference.com/cbb/players/jose-barea-1.html,jose-barea-1,70.0,180.0
bargnan01,https://www.basketball-reference.com/players/b/bargnan01.html,ok,,1985-10-26,,,,,84.0,245.0
barnema02,https://www.basketball-reference.com/players/b/barnema02.html,ok,,1980-03-09,1998.0,54.0,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,matt-barnes-1,79.0,226.0
barroea01,https://www.basketball-reference.com/players/b/barroea01.html,ok,,1981-08-14,,,https://www.sports-reference.com/cbb/players/earl-barron-1.html,earl-barron-1,84.0,250.0
bassbr01,https://www.basketball-reference.com/players/b/bassbr01.html,ok,,1985-04-30,2003.0,12.0,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,brandon-bass-1,80.0,250.0
battish01,https://www.basketball-reference.com/players/b/battish01.html,ok,,1978-09-09,,,https://www.sports-reference.com/cbb/players/shane-battier-1.html,shane-battier-1,80.0,220.0
battito01,https://www.basketball-reference.com/players/b/battito01.html,ok,,1976-02-11,,,https://www.sports-reference.com/cbb/players/tony-battie-1.html,tony-battie-1,83.0,230.0
batumni01,https://www.basketball-reference.com/players/b/batumni01.html,ok,,1988-12-14,,,,,79.0,230.0
bayleje01,https://www.basketball-reference.com/players/b/bayleje01.html,ok,,1988-08-20,2007.0,7.0,https://www.sports-reference.com/cbb/players/jerryd-bayless-1.html,jerryd-bayless-1,75.0,200.0
beaslmi01,https://www.basketball-reference.com/players/b/beaslmi01.html,ok,,1989-01-09,2007.0,4.0,https://www.sports-reference.com/cbb/players/michael-beasley-1.html,michael-beasley-1,81.0,235.0
beaubro01,https://www.basketball-reference.com/players/b/beaubro01.html,ok,,1988-02-24,,,,,72.0,170.0
belinma01,https://www.basketball-reference.com/players/b/belinma01.html,ok,,1986-03-25,,,,,77.0,220.0
bellch01,https://www.basketball-reference.com/players/b/bellch01.html,ok,,1979-03-12,,,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,charlie-bell-1,75.0,200.0
bellra01,https://www.basketball-reference.com/players/b/bellra01.html,ok,,1976-09-19,,,https://www.sports-reference.com/cbb/players/raja-bell-1.html,raja-bell-1,77.0,204.0
bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01.html,ok,,1978-05-13,,,https://www.sports-reference.com/cbb/players/mike-bibby-1.html,mike-bibby-1,73.0,190.0
biedran01,https://www.basketball-reference.com/players/b/biedran01.html,ok,,1986-04-02,,,,,83.0,240.0
billuch01,https://www.basketball-reference.com/players/b/billuch01.html,ok,,1976-09-25,,,https://www.sports-reference.com/cbb/players/chauncey-billups-1.html,chauncey-billups-1,75.0,202.0
blairde01,https://www.basketball-reference.com/players/b/blairde01.html,ok,,1989-04-22,2007.0,36.0,https://www.sports-reference.com/cbb/players/dejuan-blair-1.html,dejuan-blair-1,79.0,270.0
blakest01,https://www.basketball-reference.com/players/b/blakest01.html,ok,,1980-02-26,1999.0,55.0,https://www.sports-reference.com/cbb/players/steve-blake-1.html,steve-blake-1,75.0,172.0
blatcan01,https://www.basketball-reference.com/players/b/blatcan01.html,ok,,1986-08-22,2004.0,64.0,,,83.0,235.0
bledser01,https://www.basketball-reference.com/players/b/bledser01.html,ok,,1989-12-09,2009.0,52.0,https://www.sports-reference.com/cbb/players/eric-bledsoe-1.html,eric-bledsoe-1,73.0,214.0
boganke01,https://www.basketball-reference.com/players/b/boganke01.html,ok,,1980-05-12,1999.0,2.0,https://www.sports-reference.com/cbb/players/keith-bogans-1.html,keith-bogans-1,77.0,215.0
bogutan01,https://www.basketball-reference.com/players/b/bogutan01.html,ok,,1984-11-28,,,https://www.sports-reference.com/cbb/players/andrew-bogut-1.html,andrew-bogut-1,84.0,260.0
bonnema01,https://www.basketball-reference.com/players/b/bonnema01.html,ok,,1980-04-05,1999.0,38.0,https://www.sports-reference.com/cbb/players/matt-bonner-1.html,matt-bonner-1,82.0,235.0
booketr01,https://www.basketball-reference.com/players/b/booketr01.html,ok,,1987-11-25,,,https://www.sports-reference.com/cbb/players/trevor-booker-1.html,trevor-booker-1,80.0,228.0
boozeca01,https://www.basketball-reference.com/players/b/boozeca01.html,ok,,1981-11-20,1999.0,8.0,https://www.sports-reference.com/cbb/players/carlos-boozer-1.html,carlos-boozer-1,81.0,258.0
boshch01,https://www.basketball-reference.com/players/b/boshch01.html,ok,,1984-03-24,2002.0,5.0,https://www.sports-reference.com/cbb/players/chris-bosh-1.html,chris-bosh-1,83.0,235.0
boykiea01,https://www.basketball-reference.com/players/b/boykiea01.html,ok,,1976-06-02,,,https://www.sports-reference.com/cbb/players/earl-boykins-1.html,earl-boykins-1,65.0,135.0
brackcr01,https://www.basketball-reference.com/players/b/brackcr01.html,ok,,1987-10-09,2007.0,51.0,https://www.sports-reference.com/cbb/players/craig-brackins-1.html,craig-brackins-1,82.0,230.0
bradlav01,https://www.basketball-reference.com/players/b/bradlav01.html,ok,,1990-11-26,2009.0,4.0,https://www.sports-reference.com/cbb/players/avery-bradley-1.html,avery-bradley-1,75.0,180.0
brandel01,https://www.basketball-reference.com/players/b/brandel01.html,ok,,1979-03-11,,,https://www.sports-reference.com/cbb/players/elton-brand-1.html,elton-brand-1,81.0,275.0
breweco01,https://www.basketball-reference.com/players/b/breweco01.html,ok,,1986-03-05,2004.0,25.0,https://www.sports-reference.com/cbb/players/corey-brewer-1.html,corey-brewer-1,81.0,186.0
brewero02,https://www.basketball-reference.com/players/b/brewero02.html,ok,,1985-03-20,2003.0,39.0,https://www.sports-reference.com/cbb/players/ronnie-brewer-1.html,ronnie-brewer-1,79.0,220.0
brockjo01,https://www.basketball-reference.com/players/b/brockjo01.html,ok,,1987-03-20,2005.0,17.0,https://www.sports-reference.com/cbb/players/jon-brockman-1.html,jon-brockman-1,79.0,255.0
brookaa01,https://www.basketball-reference.com/players/b/brookaa01.html,ok,,1985-01-14,2003.0,32.0,https://www.sports-reference.com/cbb/players/aaron-brooks-1.html,aaron-brooks-1,72.0,161.0
brownde04,https://www.basketball-reference.com/players/b/brownde04.html,ok,,1987-09-08,,,https://www.sports-reference.com/cbb/players/derrick-brown-1.html,derrick-brown-1,79.0,225.0
brownkw01,https://www.basketball-reference.com/players/b/brownkw01.html,ok,,1982-03-10,2001.0,6.0,,,83.0,270.0
brownsh01,https://www.basketball-reference.com/players/b/brownsh01.html,ok,,1985-11-29,2003.0,3.0,https://www.sports-reference.com/cbb/players/shannon-brown-1.html,shannon-brown-1,76.0,205.0
bryanko01,https://www.basketball-reference.com/players/b/bryanko01.html,ok,,1978-08-23,,,,,78.0,212.0
budinch01,https://www.basketball-reference.com/players/b/budinch01.html,ok,,1988-05-22,2006.0,7.0,https://www.sports-reference.com/cbb/players/chase-budinger-1.html,chase-budinger-1,79.0,209.0
butleca01,https://www.basketball-reference.com/players/b/butleca01.html,ok,,1980-03-13,1999.0,60.0,https://www.sports-reference.com/cbb/players/caron-butler-1.html,caron-butler-1,79.0,228.0
butlera01,https://www.basketball-reference.com/players/b/butlera01.html,ok,,1979-05-23,1998.0,37.0,https://www.sports-reference.com/cbb/players/rasual-butler-1.html,rasual-butler-1,79.0,215.0
bynuman01,https://www.basketball-reference.com/players/b/bynuman01.html,ok,,1987-10-27,2005.0,10.0,,,84.0,285.0
bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01.html,ok,,1983-01-04,2001.0,53.0,https://www.sports-reference.com/cbb/players/will-bynum-1.html,will-bynum-1,72.0,185.0
caldejo01,https://www.basketball-reference.com/players/c/caldejo01.html,ok,,1981-09-28,,,,,75.0,200.0
cambyma01,https://www.basketball-reference.com/players/c/cambyma01.html,ok,,1974-03-22,,,https://www.sports-reference.com/cbb/players/marcus-camby-1.html,marcus-camby-1,83.0,220.0
caracde01,https://www.basketball-reference.com/players/c/caracde01.html,ok,,1988-05-04,2006.0,17.0,https://www.sports-reference.com/cbb/players/derrick-caracter-1.html,derrick-caracter-1,81.0,275.0
cardibr01,https://www.basketball-reference.com/players/c/cardibr01.html,ok,,1977-05-02,,,https://www.sports-reference.com/cbb/players/brian-cardinal-1.html,brian-cardinal-1,80.0,245.0
carnero01,https://www.basketball-reference.com/players/c/carnero01.html,ok,,1984-04-15,,,https://www.sports-reference.com/cbb/players/rodney-carney-1.html,rodney-carney-1,79.0,205.0
carrode01,https://www.basketball-reference.com/players/c/carrode01.html,ok,,1986-07-27,,,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,demarre-carroll-1,78.0,215.0
carroma01,https://www.basketball-reference.com/players/c/carroma01.html,ok,,1980-08-28,1999.0,40.0,https://www.sports-reference.com/cbb/players/matt-carroll-1.html,matt-carroll-1,78.0,212.0
cartean01,https://www.basketball-reference.com/players/c/cartean01.html,ok,,1975-06-16,,,https://www.sports-reference.com/cbb/players/anthony-carter-1.html,anthony-carter-1,73.0,190.0
cartevi01,https://www.basketball-reference.com/players/c/cartevi01.html,ok,,1977-01-26,,,https://www.sports-reference.com/cbb/players/vince-carter-1.html,vince-carter-1,78.0,220.0
casspom01,https://www.basketball-reference.com/players/c/casspom01.html,ok,,1988-06-22,,,,,81.0,225.0
chalmma01,https://www.basketball-reference.com/players/c/chalmma01.html,ok,,1986-05-19,2005.0,8.0,https://www.sports-reference.com/cbb/players/mario-chalmers-1.html,mario-chalmers-1,74.0,190.0
chandty01,https://www.basketball-reference.com/players/c/chandty01.html,ok,,1982-10-02,2001.0,4.0,,,84.0,235.0
chandwi01,https://www.basketball-reference.com/players/c/chandwi01.html,ok,,1987-05-10,2005.0,56.0,https://www.sports-reference.com/cbb/players/wilson-chandler-1.html,wilson-chandler-1,80.0,235.0
childjo01,https://www.basketball-reference.com/players/c/childjo01.html,ok,,1983-06-20,2001.0,18.0,https://www.sports-reference.com/cbb/players/josh-childress-1.html,josh-childress-1,80.0,210.0
clarkea01,https://www.basketball-reference.com/players/c/clarkea01.html,ok,,1988-01-17,2006.0,24.0,https://www.sports-reference.com/cbb/players/earl-clark-1.html,earl-clark-1,82.0,225.0
collida01,https://www.basketball-reference.com/players/c/collida01.html,ok,,1987-08-23,2005.0,98.0,https://www.sports-reference.com/cbb/players/darren-collison-1.html,darren-collison-1,72.0,175.0
collija03,https://www.basketball-reference.com/players/c/collija03.html,ok,,1978-12-02,,,https://www.sports-reference.com/cbb/players/jarron-collins-1.html,jarron-collins-1,83.0,255.0
collija04,https://www.basketball-reference.com/players/c/collija04.html,ok,,1978-12-02,,,https://www.sports-reference.com/cbb/players/jason-collins-1.html,jason-collins-1,84.0,255.0
collini01,https://www.basketball-reference.com/players/c/collini01.html,ok,,1980-10-26,1999.0,22.0,https://www.sports-reference.com/cbb/players/nick-collison-1.html,nick-collison-1,82.0,255.0
collish01,https://www.basketball-reference.com/players/c/collish01.html,ok,,1987-03-18,2006.0,14.0,https://www.sports-reference.com/cbb/players/sherron-collins-1.html,sherron-collins-1,71.0,205.0
conlemi01,https://www.basketball-reference.com/players/c/conlemi01.html,ok,,1987-10-11,2006.0,21.0,https://www.sports-reference.com/cbb/players/mike-conley-1.html,mike-conley-1,73.0,175.0
cookbr01,https://www.basketball-reference.com/players/c/cookbr01.html,ok,,1980-12-04,1999.0,20.0,https://www.sports-reference.com/cbb/players/brian-cook-1.html,brian-cook-1,81.0,234.0
cookda02,https://www.basketball-reference.com/players/c/cookda02.html,ok,,1987-04-28,2006.0,13.0,https://www.sports-reference.com/cbb/players/daequan-cook-1.html,daequan-cook-1,77.0,205.0
couside01,https://www.basketball-reference.com/players/c/couside01.html,ok,,1990-08-13,2009.0,3.0,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,demarcus-cousins-1,82.0,270.0
cousima01,https://www.basketball-reference.com/players/c/cousima01.html,ok,,1986-12-18,,,https://www.sports-reference.com/cbb/players/marcus-cousin-1.html,marcus-cousin-1,83.0,245.0
crawfja01,https://www.basketball-reference.com/players/c/crawfja01.html,ok,,1980-03-20,1999.0,46.0,https://www.sports-reference.com/cbb/players/jamal-crawford-1.html,jamal-crawford-1,77.0,185.0
crawfjo02,https://www.basketball-reference.com/players/c/crawfjo02.html,ok,,1988-10-23,,,https://www.sports-reference.com/cbb/players/jordan-crawford-1.html,jordan-crawford-1,76.0,195.0
cunnida01,https://www.basketball-reference.com/players/c/cunnida01.html,ok,,1987-04-22,,,https://www.sports-reference.com/cbb/players/dante-cunningham-1.html,dante-cunningham-1,80.0,230.0
curryst01,https://www.basketball-reference.com/players/c/curryst01.html,ok,,1988-03-14,,,https://www.sports-reference.com/cbb/players/stephen-curry-1.html,stephen-curry-1,74.0,185.0
dalemsa01,https://www.basketball-reference.com/players/d/dalemsa01.html,ok,,1981-05-10,1999.0,29.0,https://www.sports-reference.com/cbb/players/samuel-dalembert-1.html,samuel-dalembert-1,83.0,255.0
dampier01,https://www.basketball-reference.com/players/d/dampier01.html,ok,,1975-07-14,,,https://www.sports-reference.com/cbb/players/erick-dampier-1.html,erick-dampier-1,83.0,265.0
daniean01,https://www.basketball-reference.com/players/d/daniean01.html,ok,,1975-03-19,,,https://www.sports-reference.com/cbb/players/antonio-daniels-1.html,antonio-daniels-1,76.0,195.0
daniema01,https://www.basketball-reference.com/players/d/daniema01.html,ok,,1981-01-07,1999.0,84.0,https://www.sports-reference.com/cbb/players/marquis-daniels-1.html,marquis-daniels-1,78.0,200.0
davisba01,https://www.basketball-reference.com/players/d/davisba01.html,ok,,1979-04-13,,,https://www.sports-reference.com/cbb/players/baron-davis-1.html,baron-davis-1,75.0,209.0
davised01,https://www.basketball-reference.com/players/d/davised01.html,ok,,1989-06-05,2008.0,9.0,https://www.sports-reference.com/cbb/players/ed-davis-1.html,ed-davis-1,81.0,218.0
davisgl01,https://www.basketball-reference.com/players/d/davisgl01.html,ok,,1986-01-01,2004.0,11.0,https://www.sports-reference.com/cbb/players/glen-davis-1.html,glen-davis-1,81.0,289.0
dayeau01,https://www.basketball-reference.com/players/d/dayeau01.html,ok,,1988-06-05,2007.0,34.0,https://www.sports-reference.com/cbb/players/austin-daye-1.html,austin-daye-1,83.0,220.0
delfica01,https://www.basketball-reference.com/players/d/delfica01.html,ok,,1982-08-29,,,,,78.0,230.0
denglu01,https://www.basketball-reference.com/players/d/denglu01.html,ok,,1985-04-16,2003.0,2.0,https://www.sports-reference.com/cbb/players/luol-deng-1.html,luol-deng-1,81.0,237.0
derozde01,https://www.basketball-reference.com/players/d/derozde01.html,ok,,1989-08-07,2008.0,5.0,https://www.sports-reference.com/cbb/players/demar-derozan-1.html,demar-derozan-1,78.0,220.0
diawbo01,https://www.basketball-reference.com/players/d/diawbo01.html,ok,,1982-04-16,,,,,80.0,250.0
dioguik01,https://www.basketball-reference.com/players/d/dioguik01.html,ok,,1983-09-11,2002.0,51.0,https://www.sports-reference.com/cbb/players/ike-diogu-1.html,ike-diogu-1,80.0,250.0
diopde01,https://www.basketball-reference.com/players/d/diopde01.html,ok,,1982-01-30,2001.0,8.0,,,84.0,300.0
doolike01,https://www.basketball-reference.com/players/d/doolike01.html,ok,,1980-05-08,1998.0,19.0,https://www.sports-reference.com/cbb/players/keyon-dooling-1.html,keyon-dooling-1,75.0,196.0
dorsejo01,https://www.basketball-reference.com/players/d/dorsejo01.html,ok,,1983-12-16,,,https://www.sports-reference.com/cbb/players/joey-dorsey-1.html,joey-dorsey-1,80.0,268.0
douglch01,https://www.basketball-reference.com/players/d/douglch01.html,ok,,1987-01-08,2005.0,41.0,https://www.sports-reference.com/cbb/players/chris-douglas-roberts-1.html,chris-douglas-roberts-1,79.0,200.0
douglto01,https://www.basketball-reference.com/players/d/douglto01.html,ok,,1986-03-16,2004.0,100.0,https://www.sports-reference.com/cbb/players/toney-douglas-1.html,toney-douglas-1,74.0,195.0
dowdeza01,https://www.basketball-reference.com/players/d/dowdeza01.html,ok,,1984-09-10,,,https://www.sports-reference.com/cbb/players/zabian-dowdell-1.html,zabian-dowdell-1,75.0,191.0
dragigo01,https://www.basketball-reference.com/players/d/dragigo01.html,ok,,1986-05-06,,,,,76.0,190.0
dudleja01,https://www.basketball-reference.com/players/d/dudleja01.html,ok,,1985-07-10,,,https://www.sports-reference.com/cbb/players/jared-dudley-1.html,jared-dudley-1,78.0,237.0
duhonch01,https://www.basketball-reference.com/players/d/duhonch01.html,ok,,1982-08-31,2000.0,6.0,https://www.sports-reference.com/cbb/players/chris-duhon-1.html,chris-duhon-1,73.0,185.0
duncati01,https://www.basketball-reference.com/players/d/duncati01.html,ok,,1976-04-25,,,https://www.sports-reference.com/cbb/players/tim-duncan-1.html,tim-duncan-1,83.0,250.0
dunlemi02,https://www.basketball-reference.com/players/d/dunlemi02.html,ok,,1980-09-15,1999.0,26.0,https://www.sports-reference.com/cbb/players/mike-dunleavy-2.html,mike-dunleavy-2,81.0,230.0
duprero01,https://www.basketball-reference.com/players/d/duprero01.html,ok,,1981-01-26,1999.0,69.0,https://www.sports-reference.com/cbb/players/ronald-dupree-1.html,ronald-dupree-1,79.0,209.0
duranke01,https://www.basketball-reference.com/players/d/duranke01.html,ok,,1988-09-29,2006.0,2.0,https://www.sports-reference.com/cbb/players/kevin-durant-1.html,kevin-durant-1,83.0,240.0
ebankde01,https://www.basketball-reference.com/players/e/ebankde01.html,ok,,1989-10-28,2008.0,30.0,https://www.sports-reference.com/cbb/players/devin-ebanks-1.html,devin-ebanks-1,81.0,215.0
ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01.html,ok,,1987-11-29,2006.0,8.0,https://www.sports-reference.com/cbb/players/wayne-ellington-1.html,wayne-ellington-1,76.0,207.0
ellismo01,https://www.basketball-reference.com/players/e/ellismo01.html,ok,,1985-10-26,2005.0,2.0,,,75.0,185.0
elsonfr01,https://www.basketball-reference.com/players/e/elsonfr01.html,ok,,1976-02-28,,,https://www.sports-reference.com/cbb/players/francisco-elson-1.html,francisco-elson-1,84.0,235.0
elyme01,https://www.basketball-reference.com/players/e/elyme01.html,ok,,1978-05-02,,,https://www.sports-reference.com/cbb/players/melvin-ely-1.html,melvin-ely-1,82.0,260.0
erdense01,https://www.basketball-reference.com/players/e/erdense01.html,ok,,1986-07-28,,,,,84.0,240.0
evansje01,https://www.basketball-reference.com/players/e/evansje01.html,ok,,1987-10-24,,,https://www.sports-reference.com/cbb/players/jeremy-evans-1.html,jeremy-evans-1,81.0,200.0
evansma01,https://www.basketball-reference.com/players/e/evansma01.html,ok,,1978-11-08,,,https://www.sports-reference.com/cbb/players/maurice-evans-1.html,maurice-evans-1,77.0,220.0
evansre01,https://www.basketball-reference.com/players/e/evansre01.html,ok,,1980-05-18,,,https://www.sports-reference.com/cbb/players/reggie-evans-1.html,reggie-evans-1,80.0,245.0
evansty01,https://www.basketball-reference.com/players/e/evansty01.html,ok,,1989-09-19,2008.0,3.0,https://www.sports-reference.com/cbb/players/tyreke-evans-1.html,tyreke-evans-1,78.0,220.0
ewingpa02,https://www.basketball-reference.com/players/e/ewingpa02.html,ok,,1984-05-20,2003.0,97.0,https://www.sports-reference.com/cbb/players/pat-ewing-1.html,pat-ewing-1,80.0,235.0
eyengch01,https://www.basketball-reference.com/players/e/eyengch01.html,ok,,1989-06-22,,,,,77.0,210.0
farmajo01,https://www.basketball-reference.com/players/f/farmajo01.html,ok,,1986-11-30,2004.0,20.0,https://www.sports-reference.com/cbb/players/jordan-farmar-1.html,jordan-farmar-1,74.0,180.0
favorde01,https://www.basketball-reference.com/players/f/favorde01.html,ok,,1991-07-15,2009.0,1.0,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,derrick-favors-1,81.0,265.0
feltora01,https://www.basketball-reference.com/players/f/feltora01.html,ok,,1984-06-26,2002.0,3.0,https://www.sports-reference.com/cbb/players/raymond-felton-1.html,raymond-felton-1,73.0,205.0
fernaru01,https://www.basketball-reference.com/players/f/fernaru01.html,ok,,1985-04-04,,,,,78.0,185.0
fesenky01,https://www.basketball-reference.com/players/f/fesenky01.html,ok,,1986-12-24,,,,,85.0,288.0
fieldla01,https://www.basketball-reference.com/players/f/fieldla01.html,ok,,1988-06-27,,,https://www.sports-reference.com/cbb/players/landry-fields-1.html,landry-fields-1,79.0,210.0
fishede01,https://www.basketball-reference.com/players/f/fishede01.html,ok,,1974-08-09,,,https://www.sports-reference.com/cbb/players/derek-fisher-1.html,derek-fisher-1,73.0,200.0
flynnjo01,https://www.basketball-reference.com/players/f/flynnjo01.html,ok,,1989-02-06,2007.0,20.0,https://www.sports-reference.com/cbb/players/jonny-flynn-1.html,jonny-flynn-1,72.0,185.0
forbega01,https://www.basketball-reference.com/players/f/forbega01.html,ok,,1985-02-25,2003.0,39.0,https://www.sports-reference.com/cbb/players/gary-forbes-1.html,gary-forbes-1,79.0,220.0
fordtj01,https://www.basketball-reference.com/players/f/fordtj01.html,ok,,1983-03-24,2001.0,17.0,https://www.sports-reference.com/cbb/players/tj-ford-1.html,tj-ford-1,72.0,165.0
fosteje01,https://www.basketball-reference.com/players/f/fosteje01.html,ok,,1977-01-16,,,https://www.sports-reference.com/cbb/players/jeff-foster-1.html,jeff-foster-1,83.0,236.0
foyera01,https://www.basketball-reference.com/players/f/foyera01.html,ok,,1983-09-24,2002.0,56.0,https://www.sports-reference.com/cbb/players/randy-foye-1.html,randy-foye-1,76.0,213.0
fryech01,https://www.basketball-reference.com/players/f/fryech01.html,ok,,1983-05-17,2001.0,87.0,https://www.sports-reference.com/cbb/players/channing-frye-1.html,channing-frye-1,84.0,255.0
gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01.html,ok,,1978-02-02,1998.0,4.0,https://www.sports-reference.com/cbb/players/dan-gadzuric-1.html,dan-gadzuric-1,83.0,240.0
gainesu01,https://www.basketball-reference.com/players/g/gainesu01.html,ok,,1986-04-18,,,https://www.sports-reference.com/cbb/players/sundiata-gaines-1.html,sundiata-gaines-1,73.0,185.0
gallida01,https://www.basketball-reference.com/players/g/gallida01.html,ok,,1988-08-08,,,,,82.0,236.0
garcifr01,https://www.basketball-reference.com/players/g/garcifr01.html,ok,,1981-12-31,2002.0,71.0,https://www.sports-reference.com/cbb/players/francisco-garcia-1.html,francisco-garcia-1,79.0,195.0
garneke01,https://www.basketball-reference.com/players/g/garneke01.html,ok,,1976-05-19,,,,,83.0,240.0
