nba_player_id,nba_player_url,college_player_id,college_url,birthday,height_inches,weight_lb,recruiting_year,recruiting_rank,scrape_status,error
arenagi01,https://www.basketball-reference.com/players/a/arenagi01.html,gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,1982-01-06,76.0,191.0,1999.0,99.0,ok,
arizatr01,https://www.basketball-reference.com/players/a/arizatr01.html,trevor-ariza-1,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,1985-06-30,80.0,215.0,2003.0,19.0,ok,
armsthi01,https://www.basketball-reference.com/players/a/armsthi01.html,hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,1984-11-11,83.0,235.0,,,ok,
arroyca01,https://www.basketball-reference.com/players/a/arroyca01.html,carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,1979-07-30,74.0,202.0,,,ok,
artesro01,https://www.basketball-reference.com/players/a/artesro01.html,ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,1979-11-13,79.0,260.0,,,ok,
arthuda01,https://www.basketball-reference.com/players/a/arthuda01.html,darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,1988-03-25,81.0,235.0,2006.0,11.0,ok,
asikom01,https://www.basketball-reference.com/players/a/asikom01.html,,,1986-07-04,84.0,255.0,,,ok,
augusdj01,https://www.basketball-reference.com/players/a/augusdj01.html,dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,1987-11-10,71.0,183.0,2006.0,29.0,ok,
babbilu01,https://www.basketball-reference.com/players/b/babbilu01.html,luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,1989-06-20,81.0,225.0,2008.0,19.0,ok,
balkmre01,https://www.basketball-reference.com/players/b/balkmre01.html,renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,1984-07-14,80.0,208.0,2003.0,80.0,ok,
banksma01,https://www.basketball-reference.com/players/b/banksma01.html,marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,1981-11-19,74.0,200.0,,,ok,
barbole01,https://www.basketball-reference.com/players/b/barbole01.html,,,1982-11-28,75.0,194.0,,,ok,
bareajo01,https://www.basketball-reference.com/players/b/bareajo01.html,jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,1984-06-26,70.0,180.0,,,ok,
bargnan01,https://www.basketball-reference.com/players/b/bargnan01.html,,,1985-10-26,84.0,245.0,,,ok,
barnema02,https://www.basketball-reference.com/players/b/barnema02.html,matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,1980-03-09,79.0,226.0,1998.0,54.0,ok,
barroea01,https://www.basketball-reference.com/players/b/barroea01.html,earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,1981-08-14,84.0,250.0,,,ok,
bassbr01,https://www.basketball-reference.com/players/b/bassbr01.html,brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,1985-04-30,80.0,250.0,2003.0,12.0,ok,
battish01,https://www.basketball-reference.com/players/b/battish01.html,shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,1978-09-09,80.0,220.0,,,ok,
battito01,https://www.basketball-reference.com/players/b/battito01.html,tony-battie-1,https://www.sports-reference.com/cbb/players/tony-battie-1.html,1976-02-11,83.0,230.0,,,ok,
batumni01,https://www.basketball-reference.com/players/b/batumni01.html,,,1988-12-14,79.0,230.0,,,ok,
bayleje01,https://www.basketball-reference.com/players/b/bayleje01.html,jerryd-bayless-1,https://www.sports-reference.com/cbb/players/jerryd-bayless-1.html,1988-08-20,75.0,200.0,2007.0,7.0,ok,
beaslmi01,https://www.basketball-reference.com/players/b/beaslmi01.html,michael-beasley-1,https://www.sports-reference.com/cbb/players/michael-beasley-1.html,1989-01-09,81.0,235.0,2007.0,4.0,ok,
beaubro01,https://www.basketball-reference.com/players/b/beaubro01.html,,,1988-02-24,72.0,170.0,,,ok,
belinma01,https://www.basketball-reference.com/players/b/belinma01.html,,,1986-03-25,77.0,220.0,,,ok,
bellch01,https://www.basketball-reference.com/players/b/bellch01.html,charlie-bell-1,https://www.sports-reference.com/cbb/players/charlie-bell-1.html,1979-03-12,75.0,200.0,,,ok,
bellra01,https://www.basketball-reference.com/players/b/bellra01.html,raja-bell-1,https://www.sports-reference.com/cbb/players/raja-bell-1.html,1976-09-19,77.0,204.0,,,ok,
bibbymi01,https://www.basketball-reference.com/players/b/bibbymi01.html,mike-bibby-1,https://www.sports-reference.com/cbb/players/mike-bibby-1.html,1978-05-13,73.0,190.0,,,ok,
biedran01,https://www.basketball-reference.com/players/b/biedran01.html,,,1986-04-02,83.0,240.0,,,ok,
billuch01,https://www.basketball-reference.com/players/b/billuch01.html,chauncey-billups-1,https://www.sports-reference.com/cbb/players/chauncey-billups-1.html,1976-09-25,75.0,202.0,,,ok,
blairde01,https://www.basketball-reference.com/players/b/blairde01.html,dejuan-blair-1,https://www.sports-reference.com/cbb/players/dejuan-blair-1.html,1989-04-22,79.0,270.0,2007.0,36.0,ok,
blakest01,https://www.basketball-reference.com/players/b/blakest01.html,steve-blake-1,https://www.sports-reference.com/cbb/players/steve-blake-1.html,1980-02-26,75.0,172.0,1999.0,55.0,ok,
blatcan01,https://www.basketball-reference.com/players/b/blatcan01.html,,,1986-08-22,83.0,235.0,2004.0,64.0,ok,
bledser01,https://www.basketball-reference.com/players/b/bledser01.html,eric-bledsoe-1,https://www.sports-reference.com/cbb/players/eric-bledsoe-1.html,1989-12-09,73.0,214.0,2009.0,52.0,ok,
boganke01,https://www.basketball-reference.com/players/b/boganke01.html,keith-bogans-1,https://www.sports-reference.com/cbb/players/keith-bogans-1.html,1980-05-12,77.0,215.0,1999.0,2.0,ok,
bogutan01,https://www.basketball-reference.com/players/b/bogutan01.html,andrew-bogut-1,https://www.sports-reference.com/cbb/players/andrew-bogut-1.html,1984-11-28,84.0,260.0,,,ok,
bonnema01,https://www.basketball-reference.com/players/b/bonnema01.html,matt-bonner-1,https://www.sports-reference.com/cbb/players/matt-bonner-1.html,1980-04-05,82.0,235.0,1999.0,38.0,ok,
booketr01,https://www.basketball-reference.com/players/b/booketr01.html,trevor-booker-1,https://www.sports-reference.com/cbb/players/trevor-booker-1.html,1987-11-25,80.0,228.0,,,ok,
boozeca01,https://www.basketball-reference.com/players/b/boozeca01.html,carlos-boozer-1,https://www.sports-reference.com/cbb/players/carlos-boozer-1.html,1981-11-20,81.0,258.0,1999.0,8.0,ok,
boshch01,https://www.basketball-reference.com/players/b/boshch01.html,chris-bosh-1,https://www.sports-reference.com/cbb/players/chris-bosh-1.html,1984-03-24,83.0,235.0,2002.0,5.0,ok,
boykiea01,https://www.basketball-reference.com/players/b/boykiea01.html,earl-boykins-1,https://www.sports-reference.com/cbb/players/earl-boykins-1.html,1976-06-02,65.0,135.0,,,ok,
brackcr01,https://www.basketball-reference.com/players/b/brackcr01.html,craig-brackins-1,https://www.sports-reference.com/cbb/players/craig-brackins-1.html,1987-10-09,82.0,230.0,2007.0,51.0,ok,
bradlav01,https://www.basketball-reference.com/players/b/bradlav01.html,avery-bradley-1,https://www.sports-reference.com/cbb/players/avery-bradley-1.html,1990-11-26,75.0,180.0,2009.0,4.0,ok,
brandel01,https://www.basketball-reference.com/players/b/brandel01.html,elton-brand-1,https://www.sports-reference.com/cbb/players/elton-brand-1.html,1979-03-11,81.0,275.0,,,ok,
breweco01,https://www.basketball-reference.com/players/b/breweco01.html,corey-brewer-1,https://www.sports-reference.com/cbb/players/corey-brewer-1.html,1986-03-05,81.0,186.0,2004.0,25.0,ok,
brewero02,https://www.basketball-reference.com/players/b/brewero02.html,ronnie-brewer-1,https://www.sports-reference.com/cbb/players/ronnie-brewer-1.html,1985-03-20,79.0,220.0,2003.0,39.0,ok,
brockjo01,https://www.basketball-reference.com/players/b/brockjo01.html,jon-brockman-1,https://www.sports-reference.com/cbb/players/jon-brockman-1.html,1987-03-20,79.0,255.0,2005.0,17.0,ok,
brookaa01,https://www.basketball-reference.com/players/b/brookaa01.html,aaron-brooks-1,https://www.sports-reference.com/cbb/players/aaron-brooks-1.html,1985-01-14,72.0,161.0,2003.0,32.0,ok,
brownde04,https://www.basketball-reference.com/players/b/brownde04.html,derrick-brown-1,https://www.sports-reference.com/cbb/players/derrick-brown-1.html,1987-09-08,79.0,225.0,,,ok,
brownkw01,https://www.basketball-reference.com/players/b/brownkw01.html,,,1982-03-10,83.0,270.0,2001.0,6.0,ok,
brownsh01,https://www.basketball-reference.com/players/b/brownsh01.html,shannon-brown-1,https://www.sports-reference.com/cbb/players/shannon-brown-1.html,1985-11-29,76.0,205.0,2003.0,3.0,ok,
bryanko01,https://www.basketball-reference.com/players/b/bryanko01.html,,,1978-08-23,78.0,212.0,,,ok,
budinch01,https://www.basketball-reference.com/players/b/budinch01.html,chase-budinger-1,https://www.sports-reference.com/cbb/players/chase-budinger-1.html,1988-05-22,79.0,209.0,2006.0,7.0,ok,
butleca01,https://www.basketball-reference.com/players/b/butleca01.html,caron-butler-1,https://www.sports-reference.com/cbb/players/caron-butler-1.html,1980-03-13,79.0,228.0,1999.0,60.0,ok,
butlera01,https://www.basketball-reference.com/players/b/butlera01.html,rasual-butler-1,https://www.sports-reference.com/cbb/players/rasual-butler-1.html,1979-05-23,79.0,215.0,1998.0,37.0,ok,
bynuman01,https://www.basketball-reference.com/players/b/bynuman01.html,,,1987-10-27,84.0,285.0,2005.0,10.0,ok,
bynumwi01,https://www.basketball-reference.com/players/b/bynumwi01.html,will-bynum-1,https://www.sports-reference.com/cbb/players/will-bynum-1.html,1983-01-04,72.0,185.0,2001.0,53.0,ok,
caldejo01,https://www.basketball-reference.com/players/c/caldejo01.html,,,1981-09-28,75.0,200.0,,,ok,
cambyma01,https://www.basketball-reference.com/players/c/cambyma01.html,marcus-camby-1,https://www.sports-reference.com/cbb/players/marcus-camby-1.html,1974-03-22,83.0,220.0,,,ok,
caracde01,https://www.basketball-reference.com/players/c/caracde01.html,derrick-caracter-1,https://www.sports-reference.com/cbb/players/derrick-caracter-1.html,1988-05-04,81.0,275.0,2006.0,17.0,ok,
cardibr01,https://www.basketball-reference.com/players/c/cardibr01.html,brian-cardinal-1,https://www.sports-reference.com/cbb/players/brian-cardinal-1.html,1977-05-02,80.0,245.0,,,ok,
carnero01,https://www.basketball-reference.com/players/c/carnero01.html,rodney-carney-1,https://www.sports-reference.com/cbb/players/rodney-carney-1.html,1984-04-15,79.0,205.0,,,ok,
carrode01,https://www.basketball-reference.com/players/c/carrode01.html,demarre-carroll-1,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,1986-07-27,78.0,215.0,,,ok,
carroma01,https://www.basketball-reference.com/players/c/carroma01.html,matt-carroll-1,https://www.sports-reference.com/cbb/players/matt-carroll-1.html,1980-08-28,78.0,212.0,1999.0,40.0,ok,
cartean01,https://www.basketball-reference.com/players/c/cartean01.html,anthony-carter-1,https://www.sports-reference.com/cbb/players/anthony-carter-1.html,1975-06-16,73.0,190.0,,,ok,
cartevi01,https://www.basketball-reference.com/players/c/cartevi01.html,vince-carter-1,https://www.sports-reference.com/cbb/players/vince-carter-1.html,1977-01-26,78.0,220.0,,,ok,
casspom01,https://www.basketball-reference.com/players/c/casspom01.html,,,1988-06-22,81.0,225.0,,,ok,
chalmma01,https://www.basketball-reference.com/players/c/chalmma01.html,mario-chalmers-1,https://www.sports-reference.com/cbb/players/mario-chalmers-1.html,1986-05-19,74.0,190.0,2005.0,8.0,ok,
chandty01,https://www.basketball-reference.com/players/c/chandty01.html,,,1982-10-02,84.0,235.0,2001.0,4.0,ok,
chandwi01,https://www.basketball-reference.com/players/c/chandwi01.html,wilson-chandler-1,https://www.sports-reference.com/cbb/players/wilson-chandler-1.html,1987-05-10,80.0,235.0,2005.0,56.0,ok,
childjo01,https://www.basketball-reference.com/players/c/childjo01.html,josh-childress-1,https://www.sports-reference.com/cbb/players/josh-childress-1.html,1983-06-20,80.0,210.0,2001.0,18.0,ok,
clarkea01,https://www.basketball-reference.com/players/c/clarkea01.html,earl-clark-1,https://www.sports-reference.com/cbb/players/earl-clark-1.html,1988-01-17,82.0,225.0,2006.0,24.0,ok,
collida01,https://www.basketball-reference.com/players/c/collida01.html,darren-collison-1,https://www.sports-reference.com/cbb/players/darren-collison-1.html,1987-08-23,72.0,175.0,2005.0,98.0,ok,
collija03,https://www.basketball-reference.com/players/c/collija03.html,jarron-collins-1,https://www.sports-reference.com/cbb/players/jarron-collins-1.html,1978-12-02,83.0,255.0,,,ok,
collija04,https://www.basketball-reference.com/players/c/collija04.html,jason-collins-1,https://www.sports-reference.com/cbb/players/jason-collins-1.html,1978-12-02,84.0,255.0,,,ok,
collini01,https://www.basketball-reference.com/players/c/collini01.html,nick-collison-1,https://www.sports-reference.com/cbb/players/nick-collison-1.html,1980-10-26,82.0,255.0,1999.0,22.0,ok,
collish01,https://www.basketball-reference.com/players/c/collish01.html,sherron-collins-1,https://www.sports-reference.com/cbb/players/sherron-collins-1.html,1987-03-18,71.0,205.0,2006.0,14.0,ok,
conlemi01,https://www.basketball-reference.com/players/c/conlemi01.html,mike-conley-1,https://www.sports-reference.com/cbb/players/mike-conley-1.html,1987-10-11,73.0,175.0,2006.0,21.0,ok,
cookbr01,https://www.basketball-reference.com/players/c/cookbr01.html,brian-cook-1,https://www.sports-reference.com/cbb/players/brian-cook-1.html,1980-12-04,81.0,234.0,1999.0,20.0,ok,
cookda02,https://www.basketball-reference.com/players/c/cookda02.html,daequan-cook-1,https://www.sports-reference.com/cbb/players/daequan-cook-1.html,1987-04-28,77.0,205.0,2006.0,13.0,ok,
couside01,https://www.basketball-reference.com/players/c/couside01.html,demarcus-cousins-1,https://www.sports-reference.com/cbb/players/demarcus-cousins-1.html,1990-08-13,82.0,270.0,2009.0,3.0,ok,
cousima01,https://www.basketball-reference.com/players/c/cousima01.html,marcus-cousin-1,https://www.sports-reference.com/cbb/players/marcus-cousin-1.html,1986-12-18,83.0,245.0,,,ok,
crawfja01,https://www.basketball-reference.com/players/c/crawfja01.html,jamal-crawford-1,https://www.sports-reference.com/cbb/players/jamal-crawford-1.html,1980-03-20,77.0,185.0,1999.0,46.0,ok,
crawfjo02,https://www.basketball-reference.com/players/c/crawfjo02.html,jordan-crawford-1,https://www.sports-reference.com/cbb/players/jordan-crawford-1.html,1988-10-23,76.0,195.0,,,ok,
cunnida01,https://www.basketball-reference.com/players/c/cunnida01.html,dante-cunningham-1,https://www.sports-reference.com/cbb/players/dante-cunningham-1.html,1987-04-22,80.0,230.0,,,ok,
curryst01,https://www.basketball-reference.com/players/c/curryst01.html,stephen-curry-1,https://www.sports-reference.com/cbb/players/stephen-curry-1.html,1988-03-14,74.0,185.0,,,ok,
dalemsa01,https://www.basketball-reference.com/players/d/dalemsa01.html,samuel-dalembert-1,https://www.sports-reference.com/cbb/players/samuel-dalembert-1.html,1981-05-10,83.0,255.0,1999.0,29.0,ok,
dampier01,https://www.basketball-reference.com/players/d/dampier01.html,erick-dampier-1,https://www.sports-reference.com/cbb/players/erick-dampier-1.html,1975-07-14,83.0,265.0,,,ok,
daniean01,https://www.basketball-reference.com/players/d/daniean01.html,antonio-daniels-1,https://www.sports-reference.com/cbb/players/antonio-daniels-1.html,1975-03-19,76.0,195.0,,,ok,
daniema01,https://www.basketball-reference.com/players/d/daniema01.html,marquis-daniels-1,https://www.sports-reference.com/cbb/players/marquis-daniels-1.html,1981-01-07,78.0,200.0,1999.0,84.0,ok,
davisba01,https://www.basketball-reference.com/players/d/davisba01.html,baron-davis-1,https://www.sports-reference.com/cbb/players/baron-davis-1.html,1979-04-13,75.0,209.0,,,ok,
davised01,https://www.basketball-reference.com/players/d/davised01.html,ed-davis-1,https://www.sports-reference.com/cbb/players/ed-davis-1.html,1989-06-05,81.0,218.0,2008.0,9.0,ok,
davisgl01,https://www.basketball-reference.com/players/d/davisgl01.html,glen-davis-1,https://www.sports-reference.com/cbb/players/glen-davis-1.html,1986-01-01,81.0,289.0,2004.0,11.0,ok,
dayeau01,https://www.basketball-reference.com/players/d/dayeau01.html,austin-daye-1,https://www.sports-reference.com/cbb/players/austin-daye-1.html,1988-06-05,83.0,220.0,2007.0,34.0,ok,
delfica01,https://www.basketball-reference.com/players/d/delfica01.html,,,1982-08-29,78.0,230.0,,,ok,
denglu01,https://www.basketball-reference.com/players/d/denglu01.html,luol-deng-1,https://www.sports-reference.com/cbb/players/luol-deng-1.html,1985-04-16,81.0,237.0,2003.0,2.0,ok,
derozde01,https://www.basketball-reference.com/players/d/derozde01.html,demar-derozan-1,https://www.sports-reference.com/cbb/players/demar-derozan-1.html,1989-08-07,78.0,220.0,2008.0,5.0,ok,
diawbo01,https://www.basketball-reference.com/players/d/diawbo01.html,,,1982-04-16,80.0,250.0,,,ok,
dioguik01,https://www.basketball-reference.com/players/d/dioguik01.html,ike-diogu-1,https://www.sports-reference.com/cbb/players/ike-diogu-1.html,1983-09-11,80.0,250.0,2002.0,51.0,ok,
diopde01,https://www.basketball-reference.com/players/d/diopde01.html,,,1982-01-30,84.0,300.0,2001.0,8.0,ok,
doolike01,https://www.basketball-reference.com/players/d/doolike01.html,keyon-dooling-1,https://www.sports-reference.com/cbb/players/keyon-dooling-1.html,1980-05-08,75.0,196.0,1998.0,19.0,ok,
dorsejo01,https://www.basketball-reference.com/players/d/dorsejo01.html,joey-dorsey-1,https://www.sports-reference.com/cbb/players/joey-dorsey-1.html,1983-12-16,80.0,268.0,,,ok,
douglch01,https://www.basketball-reference.com/players/d/douglch01.html,chris-douglas-roberts-1,https://www.sports-reference.com/cbb/players/chris-douglas-roberts-1.html,1987-01-08,79.0,200.0,2005.0,41.0,ok,
douglto01,https://www.basketball-reference.com/players/d/douglto01.html,toney-douglas-1,https://www.sports-reference.com/cbb/players/toney-douglas-1.html,1986-03-16,74.0,195.0,2004.0,100.0,ok,
dowdeza01,https://www.basketball-reference.com/players/d/dowdeza01.html,zabian-dowdell-1,https://www.sports-reference.com/cbb/players/zabian-dowdell-1.html,1984-09-10,75.0,191.0,,,ok,
dragigo01,https://www.basketball-reference.com/players/d/dragigo01.html,,,1986-05-06,76.0,190.0,,,ok,
dudleja01,https://www.basketball-reference.com/players/d/dudleja01.html,jared-dudley-1,https://www.sports-reference.com/cbb/players/jared-dudley-1.html,1985-07-10,78.0,237.0,,,ok,
duhonch01,https://www.basketball-reference.com/players/d/duhonch01.html,chris-duhon-1,https://www.sports-reference.com/cbb/players/chris-duhon-1.html,1982-08-31,73.0,185.0,2000.0,6.0,ok,
duncati01,https://www.basketball-reference.com/players/d/duncati01.html,tim-duncan-1,https://www.sports-reference.com/cbb/players/tim-duncan-1.html,1976-04-25,83.0,250.0,,,ok,
dunlemi02,https://www.basketball-reference.com/players/d/dunlemi02.html,mike-dunleavy-2,https://www.sports-reference.com/cbb/players/mike-dunleavy-2.html,1980-09-15,81.0,230.0,1999.0,26.0,ok,
duprero01,https://www.basketball-reference.com/players/d/duprero01.html,ronald-dupree-1,https://www.sports-reference.com/cbb/players/ronald-dupree-1.html,1981-01-26,79.0,209.0,1999.0,69.0,ok,
duranke01,https://www.basketball-reference.com/players/d/duranke01.html,kevin-durant-1,https://www.sports-reference.com/cbb/players/kevin-durant-1.html,1988-09-29,83.0,240.0,2006.0,2.0,ok,
ebankde01,https://www.basketball-reference.com/players/e/ebankde01.html,devin-ebanks-1,https://www.sports-reference.com/cbb/players/devin-ebanks-1.html,1989-10-28,81.0,215.0,2008.0,30.0,ok,
ellinwa01,https://www.basketball-reference.com/players/e/ellinwa01.html,wayne-ellington-1,https://www.sports-reference.com/cbb/players/wayne-ellington-1.html,1987-11-29,76.0,207.0,2006.0,8.0,ok,
ellismo01,https://www.basketball-reference.com/players/e/ellismo01.html,,,1985-10-26,75.0,185.0,2005.0,2.0,ok,
elsonfr01,https://www.basketball-reference.com/players/e/elsonfr01.html,francisco-elson-1,https://www.sports-reference.com/cbb/players/francisco-elson-1.html,1976-02-28,84.0,235.0,,,ok,
elyme01,https://www.basketball-reference.com/players/e/elyme01.html,melvin-ely-1,https://www.sports-reference.com/cbb/players/melvin-ely-1.html,1978-05-02,82.0,260.0,,,ok,
erdense01,https://www.basketball-reference.com/players/e/erdense01.html,,,1986-07-28,84.0,240.0,,,ok,
evansje01,https://www.basketball-reference.com/players/e/evansje01.html,jeremy-evans-1,https://www.sports-reference.com/cbb/players/jeremy-evans-1.html,1987-10-24,81.0,200.0,,,ok,
evansma01,https://www.basketball-reference.com/players/e/evansma01.html,maurice-evans-1,https://www.sports-reference.com/cbb/players/maurice-evans-1.html,1978-11-08,77.0,220.0,,,ok,
evansre01,https://www.basketball-reference.com/players/e/evansre01.html,reggie-evans-1,https://www.sports-reference.com/cbb/players/reggie-evans-1.html,1980-05-18,80.0,245.0,,,ok,
evansty01,https://www.basketball-reference.com/players/e/evansty01.html,tyreke-evans-1,https://www.sports-reference.com/cbb/players/tyreke-evans-1.html,1989-09-19,78.0,220.0,2008.0,3.0,ok,
ewingpa02,https://www.basketball-reference.com/players/e/ewingpa02.html,pat-ewing-1,https://www.sports-reference.com/cbb/players/pat-ewing-1.html,1984-05-20,80.0,235.0,2003.0,97.0,ok,
eyengch01,https://www.basketball-reference.com/players/e/eyengch01.html,,,1989-06-22,77.0,210.0,,,ok,
farmajo01,https://www.basketball-reference.com/players/f/farmajo01.html,jordan-farmar-1,https://www.sports-reference.com/cbb/players/jordan-farmar-1.html,1986-11-30,74.0,180.0,2004.0,20.0,ok,
favorde01,https://www.basketball-reference.com/players/f/favorde01.html,derrick-favors-1,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,1991-07-15,81.0,265.0,2009.0,1.0,ok,
feltora01,https://www.basketball-reference.com/players/f/feltora01.html,raymond-felton-1,https://www.sports-reference.com/cbb/players/raymond-felton-1.html,1984-06-26,73.0,205.0,2002.0,3.0,ok,
fernaru01,https://www.basketball-reference.com/players/f/fernaru01.html,,,1985-04-04,78.0,185.0,,,ok,
fesenky01,https://www.basketball-reference.com/players/f/fesenky01.html,,,1986-12-24,85.0,288.0,,,ok,
fieldla01,https://www.basketball-reference.com/players/f/fieldla01.html,landry-fields-1,https://www.sports-reference.com/cbb/players/landry-fields-1.html,1988-06-27,79.0,210.0,,,ok,
fishede01,https://www.basketball-reference.com/players/f/fishede01.html,derek-fisher-1,https://www.sports-reference.com/cbb/players/derek-fisher-1.html,1974-08-09,73.0,200.0,,,ok,
flynnjo01,https://www.basketball-reference.com/players/f/flynnjo01.html,jonny-flynn-1,https://www.sports-reference.com/cbb/players/jonny-flynn-1.html,1989-02-06,72.0,185.0,2007.0,20.0,ok,
forbega01,https://www.basketball-reference.com/players/f/forbega01.html,gary-forbes-1,https://www.sports-reference.com/cbb/players/gary-forbes-1.html,1985-02-25,79.0,220.0,2003.0,39.0,ok,
fordtj01,https://www.basketball-reference.com/players/f/fordtj01.html,tj-ford-1,https://www.sports-reference.com/cbb/players/tj-ford-1.html,1983-03-24,72.0,165.0,2001.0,17.0,ok,
fosteje01,https://www.basketball-reference.com/players/f/fosteje01.html,jeff-foster-1,https://www.sports-reference.com/cbb/players/jeff-foster-1.html,1977-01-16,83.0,236.0,,,ok,
foyera01,https://www.basketball-reference.com/players/f/foyera01.html,randy-foye-1,https://www.sports-reference.com/cbb/players/randy-foye-1.html,1983-09-24,76.0,213.0,2002.0,56.0,ok,
fryech01,https://www.basketball-reference.com/players/f/fryech01.html,channing-frye-1,https://www.sports-reference.com/cbb/players/channing-frye-1.html,1983-05-17,84.0,255.0,2001.0,87.0,ok,
gadzuda01,https://www.basketball-reference.com/players/g/gadzuda01.html,dan-gadzuric-1,https://www.sports-reference.com/cbb/players/dan-gadzuric-1.html,1978-02-02,83.0,240.0,1998.0,4.0,ok,
gainesu01,https://www.basketball-reference.com/players/g/gainesu01.html,sundiata-gaines-1,https://www.sports-reference.com/cbb/players/sundiata-gaines-1.html,1986-04-18,73.0,185.0,,,ok,
gallida01,https://www.basketball-reference.com/players/g/gallida01.html,,,1988-08-08,82.0,236.0,,,ok,
garcifr01,https://www.basketball-reference.com/players/g/garcifr01.html,francisco-garcia-1,https://www.sports-reference.com/cbb/players/francisco-garcia-1.html,1981-12-31,79.0,195.0,2002.0,71.0,ok,
garneke01,https://www.basketball-reference.com/players/g/garneke01.html,,,1976-05-19,83.0,240.0,,,ok,
